BodySite,Lachnospiraceae,Spirosomaceae,Peptoniphilaceae,Sphingomonadaceae,Peptostreptococcaceae_256921,Burkholderiaceae_A_574758,Rhodocyclaceae,UBA11654,Sphingobacteriaceae,Chitinophagaceae_929731,Actinomycetaceae,Xanthomonadaceae_616009,Tumebacillaceae,Rhodobacteraceae,Aerococcaceae,Anaerotignaceae,UBA918,Neisseriaceae_563222,Moraxellaceae,Rikenellaceae,Staphylococcaceae,Mycobacteriaceae,Marinifilaceae,Geodermatophilaceae,Deinococcaceae,Herpetosiphonaceae_407189,Dysgonomonadaceae,Caulobacteraceae,Balneolaceae,Dermatophilaceae_390796,Trueperaceae,Flavobacteriaceae,Dermabacteraceae,Enterococcaceae,Filifactoraceae_235894,Domibacillaceae,Lactobacillaceae,Clostridiaceae_222000,Synergistaceae,Marinilabiliaceae,Weeksellaceae,Streptococcaceae,Erysipelotrichaceae,Enterobacteriaceae_A,Chitinophagaceae_966727,CAG-272,Burkholderiaceae_A_592522,Oscillospiraceae_88309,Tannerellaceae,Nocardioidaceae,Bacteroidaceae,Blastocatellaceae_430966,Cellulomonadaceae,UBA932,Beijerinckiaceae,P3,Cellulosilyticaceae,Acidaminococcaceae,Micrococcaceae,Myxococcaceae,Planococcaceae,Solirubrobacteraceae_405308,Rhizobiaceae_A_499470,Hymenobacteraceae,Anaerovoracaceae,Ruminococcaceae,Exiguobacteraceae,Acidaminobacteraceae,Microbacteriaceae,Propionibacteriaceae,Xanthobacteraceae_503485,Methylophilaceae,Peptococcaceae_369362,Eggerthellaceae,Fusobacteriaceae_993521,70-9,Sedimentibacteraceae,Caloramatoraceae,Kineococcaceae,Pseudomonadaceae,Coprobacillaceae,Acetobacteraceae,Fastidiosipilaceae,Salinisphaeraceae,Turicibacteraceae,Burkholderiaceae_A_580492,Alteromonadaceae_665222,Burkholderiaceae_A_595422,Steroidobacteraceae,Rubrobacteraceae,Rhodanobacteraceae_613062,Akkermansiaceae,UBA11358,Desulfovibrionaceae,Paludibacteraceae,Cyclobacteriaceae_902095,Leptotrichiaceae,Sphaerochaetaceae,MedAcidi-G1,Devosiaceae,Carnobacteriaceae,Bifidobacteriaceae,CAG-74,Rhodanobacteraceae_612302,Bacillaceae_G_310392,Amphibacillaceae,UBA1381,Muribaculaceae,Cellvibrionaceae,CAG-508,Treponemataceae,Gottschalkiaceae,Gemmatimonadaceae,Nakamurellaceae,Bacillaceae_H_289398,UBA953,Crocinitomicaceae,Sporolactobacillaceae,Quadrisphaeraceae,Rhodanobacteraceae_613067,Alcanivoracaceae,Opitutaceae,Nitrospiraceae,Anaeroplasmataceae,Dialisteraceae,Massilibacillaceae,Butyricicoccaceae,Porphyromonadaceae,Eubacteriaceae_258449,GWC2-71-9,Salinicoccaceae,Solirubrobacteraceae_405343,Streptomycetaceae_400641,Veillonellaceae,Methanobacteriaceae,Halomonadaceae_641030,Gaiellaceae,Halococcaceae,DSM-1321_301386,Aeromonadaceae,Nevskiaceae,Miltoncostaeaceae,Effusibacillaceae,Chroococcidiopsidaceae_29158,CSP1-4,Dethiosulfovibrionaceae,Burkholderiaceae_A_595427,Sporanaerobacteraceae,Alicyclobacillaceae,Acutalibacteraceae,B-17BO,Campylobacteraceae,Longimicrobiaceae,QHBO01,Brevibacteriaceae,Hyphomicrobiaceae,Pasteurellaceae
Cloaca,0.42172486872115805,0.07466139649910208,6.307674585721023,0.07208670475187691,0.0365044602346003,0.008989103531935383,0.09487294411875251,0.0,0.21658410592458444,0.0992727126136874,0.8245551241513454,1.1997276231301688,0.0,0.9222655325096943,0.7002662220893962,0.0,0.0,18.27768270045809,0.0,0.013690475953229716,0.3118580720946897,2.6947617301133833,0.0,0.0,0.004690364597115016,0.09577537810746824,6.1489231395540225,0.01203734597246115,0.0,1.0284800689936806,0.0,14.488520481233268,0.10657041615608413,0.0,2.1372072266911464,0.0,0.0,1.8381354732123454,0.13072414626140696,0.0,2.5276714127837647,0.021736655468010516,0.1155874652063114,0.0,0.01075836457830235,0.007472429906225267,2.9188953497198775,0.0,0.05434746025231748,0.5356365542483833,5.3790784882009985,0.0,0.0,0.07169383642089547,0.0,0.057900506967052325,0.08944395273777918,0.1352783114970559,0.34837041576670874,0.0,0.02258877478085597,0.0073824814216596505,0.0,0.0,0.1439467077763207,0.013556506611991967,0.06804574569691045,0.2617600550717977,0.14863665443775778,3.1433798141403098,0.0,0.004679646780728766,0.0,0.0091398330128029,0.0,0.0,0.0,0.0,0.0,0.0,0.006601805026386368,0.0,0.10981870647799667,0.0,0.0,0.0,0.0,5.505314485396629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.094684092476152,0.0787538398593735,0.0,0.0,0.0,0.0,0.027568652413212647,0.0,0.0,0.0,0.0,0.025655498147000997,0.0,0.0051781572355024666,0.14416682554009141,0.0,0.0,0.0,0.013642249143082067,0.2666025840755188,0.12609549438161388,0.0,0.21572575792151624,0.0,0.0,0.0096602839429851,0.0,0.007981658177385232,0.0,0.0,0.0,3.8900449166861386,0.01675717263863333,0.0,0.0,0.0,0.0,0.0,0.012623792600762102,0.0,0.0,0.0,0.0,0.0,0.0,0.007564040811553434,0.0,0.0,0.0,0.028469212975283747,0.0,0.0,0.0,0.0,0.0,0.015005022360021616,0.0,0.0,0.0,0.0,0.0
Feces,2.9376342123787254,0.0,0.0,0.034502091689308664,6.4041205453688175,0.0,0.0,0.0,0.009488075214559879,0.00135625402637914,0.0,0.18458619053780137,0.0,0.18349359123683773,0.0,0.035028189212333735,0.0,0.0,0.7295013070874233,0.01981358722905276,0.00403266458312328,0.02457866054948308,0.4244828308073602,0.0,0.0,0.0,0.0,0.00862552292232716,0.0,0.00384153661464584,0.0,0.0,0.0,0.7032002737039746,0.0,0.0,3.543183367158864,11.784678939801589,0.0,0.01464467226551876,0.0209924827206814,0.03538341614098352,0.6576259605363777,8.333081400882667,0.00172510458446542,0.0,2.8174090857012315,0.9025131762704977,0.8297841159780713,0.00862552292232716,8.812542632630535,0.0,0.0,0.0,0.00604899687468494,0.0,3.2935305408491296,0.17662590129514855,0.11886757495740255,0.0,0.0,0.0,0.016388493552421602,0.0,0.09304923791663926,0.49980200971228983,0.0,0.0,0.22685125285720448,0.00192076830732292,0.0,0.0,0.2770102371964987,0.19787362158388772,14.872978458495558,0.0,0.0607296239636434,0.0821854650935259,0.0,0.05347824211842842,0.3786556089391046,0.00542501610551656,0.0,0.0,0.14812347574865026,0.0,0.0,0.01946985216326618,0.0,0.0,0.0,0.3997069154916733,0.0,2.1747990584688837,1.0861800913321482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007713345624967361,0.012603527246734062,0.0,0.0,0.0,0.0069004183378617205,0.00384153661464584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00864542111803902,0.12029042482939256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.522304281848826,2.132926576515602,0.0,0.0,0.0028811524609843797,0.0,0.0,0.0,0.007445928383092421,0.0,0.0,0.0328732031244667,0.0,0.42518563726986064,0.0,0.0,0.0,0.0,0.0
Oral Cavity,8.123835093580146,0.6746057236282921,0.30191598472741166,1.612199891962125,0.9619846067435919,0.2143648228762496,0.023739263764900098,0.0111099104176531,0.2975456960657473,0.17165795730536682,0.0,0.8766127866759714,0.028218457384004452,4.125448288600326,0.00435767822903955,0.1762274653109923,0.03635636546238382,0.12261769138371878,4.137425678022654,0.011620475277438825,0.5339759164383509,2.361648170180714,0.02379389563505085,0.059408917107282674,0.15381302708671005,0.0,0.0757675138896771,0.10377097246272664,0.040416381041143104,1.9642673700418345,0.049630050709244644,4.952774797676403,0.25081300611870444,0.5028420071047414,0.0,0.012169891687963974,0.7712814114468848,1.8106231568873357,0.0,0.40749551582178034,0.8060120544227272,0.3549979079265051,0.06495173745265623,3.7163683208965113,1.1933601225904842,0.0,0.7292060594310142,0.24174339111701898,1.336104142754813,0.7607879294305583,11.20488795911438,0.028795905763704253,0.031178208073514926,0.0,0.05011778342543825,0.0,0.2131397801333844,0.00435767822903955,12.67844474529099,0.057755823924171,0.17142741174762116,0.021909906535262598,0.3227212717756747,0.027154947444045553,0.009025270758122724,1.03335810153136,0.0,0.0082047915982934,0.09217345163030558,0.01754693805930865,0.2409168262045496,0.02379389563505085,0.0,0.04180928944967045,2.113843242569412,0.011620475277438825,0.01521236460995495,0.0,0.0,0.21098679225226563,0.15796868108096407,0.14554937999298975,0.0,0.12193585524343052,0.07716179597324788,0.030707141603790126,0.3152384567853188,1.74517332382021,0.00738431243846405,0.0,0.5918095061246522,0.03515908848259685,0.0676014570558128,0.05035567277314045,0.19236556772984068,0.10116859381780417,0.0,0.0,0.018372707466052376,0.1327414766321376,0.34325002377445724,1.0892057663265167,0.12021158058192667,0.3978777606470793,0.03363964555300295,0.45224042437649226,0.0,0.0,0.0421119712309525,0.0,0.0,0.04594683295044305,0.0,0.06141442159713572,0.006630716798548725,0.0,0.22708432836274844,0.026577499064345776,0.0,0.05623626420826683,0.06224715240672837,0.0,0.023107183515049576,0.0,1.6395843333881501,0.0,0.001640958319658675,0.0,0.0,0.09271414506071544,0.03090361665456265,0.023672380244986076,0.030503747603276975,0.25414818947609524,0.0,2.4452283084922315,0.06255706670677195,1.5198085722152377,0.0,0.2001516484330302,0.0,0.0,2.017722053831081,0.004922874958976025,0.001640958319658675,0.0,0.0,0.07473048706438398,0.028218457384004452,0.1090320007504802,0.005743354118805375,0.0287167705940269,0.0,0.0372437281421272,0.15988727013543758,0.027464861744089148,0.03615572532757325
Skin,1.5493505745248428,3.600033711611136,0.0167771802112371,16.937018958760927,2.2137548038415233,0.4460644677321085,0.02244568145088885,0.00152914551348705,0.7068758714031338,0.7796676113778356,0.0,0.3696186083594397,0.00382286378371765,4.849368629049669,0.030496069395500126,0.06356400619058147,0.0,0.01729027265425095,5.895225322739563,0.0,3.501765073721878,0.6839648711490013,0.023039223393294422,0.30497887502505994,15.970800548900582,0.0,0.004587436540461175,0.504126214365614,0.0,2.729649573644767,0.0053520092972047,0.7771830514771843,0.07423737971031466,0.4298700689075781,0.0,0.05734448738687777,1.9748430267285841,2.582738742840367,0.0,0.9020794039574875,1.0017645526279682,0.2116580807216773,0.00508267823258335,4.417818533006235,0.7737698344147574,0.0,3.209360395068374,0.170154468919035,0.5195111455919419,0.34733238878891426,2.6622532773332352,0.14897155806918144,0.00338845215505555,0.0,0.6854653192304594,0.0,0.27081826154573313,0.006776904310111125,2.7242242628577373,0.12242814631889147,0.49766539364440054,0.002293718270230575,0.013388728056181525,0.05406623598270007,0.0,0.25008256980074256,0.0,0.013553808620222275,0.5223859116374583,0.00611658205394825,0.10097603583978974,1.3106802229373802,0.0,0.024428245334064652,0.5793479260905052,0.002293718270230575,0.04040222661159992,0.0101653564651667,0.037442235834909195,0.4764394896955936,0.08067204858582022,0.1279979755833826,0.0,0.0,0.04651215735933072,0.008471130387638925,0.05472655823886295,0.10743371114787123,0.03142395403124437,0.1309105433153028,0.07645727567435318,0.0,0.0,0.044384220709061076,0.0,0.003058291026974125,0.0,0.0,0.0,0.0095718145227611,0.4855135766729933,0.6726752296350084,0.03469297483031215,0.002293718270230575,0.350152630633866,0.06047054314739135,0.0,0.0,0.014060950812938875,0.0,0.0,0.1930328604776441,0.035927481759893874,0.0,0.14518150679917569,0.0,0.00152914551348705,0.009174873080922375,0.0,0.0,0.0,0.0,0.0122331641078965,0.0,0.4076107590556619,0.0,0.0,0.0,0.0,0.00152914551348705,0.11330975016581915,0.0,0.017956545160711074,0.08567322573513154,0.0,0.00152914551348705,0.01524803469775005,0.0099394458376659,0.0,0.19379920191942765,0.3801457394019068,0.0,1.621129521890882,0.6431335733802322,0.05386963548213323,0.0,0.0,0.00152914551348705,0.00382286378371765,0.03040017687375635,0.00611658205394825,0.0,0.09843892791604385,0.04997404113436105,0.15986718500832567,0.0,0.0
