BodySite,Firmicutes_A,Bacteroidota,Proteobacteria,Actinobacteriota,Firmicutes_D,Patescibacteria,Deinococcota,Chloroflexota,Synergistota,Acidobacteriota,Firmicutes_C,Myxococcota_A_473307,Firmicutes_B_370539,Fusobacteriota,Verrucomicrobiota,Desulfobacterota_I,Spirochaetota,Cyanobacteria,Gemmatimonadota,Nitrospirota_A_437815,Methanobacteriota_A_1229,Halobacteriota,Campylobacterota
Cloaca,12.464440471235049,35.47780573567562,29.125801367446243,10.204400736092682,1.268308647683028,0.0,0.004690364597115016,0.1282809048946799,0.15919335923669073,0.0,0.1352783114970559,0.0,0.0,8.094684092476152,0.2762628680185039,0.0,0.2229206653994649,0.0,0.0,0.0,0.012623792600762102,0.0,0.015005022360021616
Feces,26.26104933248388,20.984052704945494,14.532382295770612,0.5825589377922737,8.001959381986131,0.0,0.0,0.0,0.0,0.0,0.18527132241318758,0.0,0.2770102371964987,14.872978458495558,0.3997069154916733,2.1747990584688837,0.0,0.0,0.00384153661464584,0.0,0.0,0.0,0.42518563726986064
Oral Cavity,13.26792129403994,25.58827483342214,23.687727768983304,20.050790941806476,7.1171576926154785,0.03635636546238382,0.2034430777959547,0.3963159374970979,0.0,0.14128080261631148,1.898090201093285,0.057755823924171,0.0,2.113843242569412,0.10276054553840962,0.05035567277314045,0.0,0.10532448138467883,0.09271414506071544,0.023107183515049576,0.0,1.5198085722152377,0.0287167705940269
Skin,7.44101715726625,13.39406110895409,40.40070850205002,8.58405275107079,10.463733732995127,0.0,15.976152558197786,0.14013638196275324,0.0,0.21470077609400917,0.5000608891009045,0.12242814631889147,0.0,0.5793479260905052,0.0,0.044384220709061076,0.0,0.7923708053059453,0.13589555518942478,0.0122331641078965,0.0,0.0099394458376659,0.0
