BodySite,Clostridia_258483,Bacteroidia,Alphaproteobacteria,Gammaproteobacteria,Actinomycetia,Bacilli,Paceibacteria,Deinococci,Chloroflexia,Rhodothermia,Synergistia,Blastocatellia,Acidimicrobiia_401430,Negativicutes,Myxococcia,Thermoleophilia,Peptococcia,Coriobacteriia,Fusobacteriia,Rubrobacteria,Verrucomicrobiae,Desulfovibrionia,Spirochaetia,Cyanobacteriia,Gemmatimonadetes,Nitrospiria,Methanobacteria,Halobacteria,Limnocylindria,Thermoanaerobaculia,Campylobacteria
Cloaca,12.464440471235049,35.47780573567562,1.1045016509140277,28.021299716532216,10.180314380846667,1.268308647683028,0.0,0.004690364597115016,0.1282809048946799,0.0,0.15919335923669073,0.0,0.0,0.1352783114970559,0.0,0.0149465222332131,0.0,0.0091398330128029,8.094684092476152,0.0,0.2762628680185039,0.0,0.2229206653994649,0.0,0.0,0.0,0.012623792600762102,0.0,0.0,0.0,0.015005022360021616
Feces,26.26104933248388,20.984052704945494,0.2544837123810967,14.277898583389515,0.38468531620838603,8.001959381986131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18527132241318758,0.0,0.0,0.2770102371964987,0.19787362158388772,14.872978458495558,0.0,0.3997069154916733,2.1747990584688837,0.0,0.0,0.00384153661464584,0.0,0.0,0.0,0.0,0.0,0.42518563726986064
Oral Cavity,13.26792129403994,24.968797812778522,6.927792311274359,16.759935457708945,19.602284896782443,7.1171576926154785,0.03635636546238382,0.2034430777959547,0.35743125103531204,0.6194770206436199,0.0,0.11993609281098536,0.2869369268099029,1.898090201093285,0.057755823924171,0.11975982876445954,0.0,0.04180928944967045,2.113843242569412,0.0,0.10276054553840962,0.05035567277314045,0.0,0.10532448138467883,0.09271414506071544,0.023107183515049576,0.0,1.5198085722152377,0.038884686461785875,0.021344709805326125,0.0287167705940269
Skin,7.44101715726625,12.634692483312607,23.34095779479243,17.059750707257592,8.405820200156237,10.463733732995127,0.0,15.976152558197786,0.036292705346258974,0.004587436540461175,0.0,0.21470077609400917,0.003058291026974125,0.5000608891009045,0.12242814631889147,0.019835471238211225,0.0,0.024428245334064652,0.5793479260905052,0.1309105433153028,0.0,0.044384220709061076,0.0,0.7923708053059453,0.13589555518942478,0.0122331641078965,0.0,0.0099394458376659,0.10384367661649427,0.0,0.0
