BodySite,Lachnospirales,Cytophagales,Tissierellales,Sphingomonadales,Peptostreptococcales,Burkholderiales_592524,Burkholderiales_597432,UBA11654,Sphingobacteriales,Chitinophagales,Actinomycetales,Xanthomonadales_616009,Tumebacillales,Rhodobacterales,Lactobacillales,UBA9983_A,Burkholderiales_597441,Pseudomonadales_660879,Bacteroidales,Staphylococcales,Mycobacteriales,Deinococcales,Chloroflexales_407189,Caulobacterales,Balneolales,Flavobacteriales_877923,Bacillales_B_302584,Clostridiales,Synergistales,Erysipelotrichales,Enterobacterales_A_737866,Oscillospirales,Burkholderiales_592522,Propionibacteriales,Pyrinomonadales,Thermomicrobiales,Acidimicrobiales,Rhizobiales_A_504705,Acetivibrionales,Acidaminococcales,Myxococcales,Bacillales_A,Solirubrobacterales,Rhizobiales_A_501396,Exiguobacterales,Peptococcales,Coriobacteriales,Fusobacteriales_993521,Pseudomonadales_650611,Acetobacterales,Saccharofermentanales,Nevskiales,Haloplasmatales_A,Burkholderiales_595422,Steroidobacterales,Rubrobacterales,Xanthomonadales_613062,Verrucomicrobiales,Pedosphaerales,Desulfovibrionales,Fusobacteriales_993777,Sphaerochaetales,Rhizobiales_A_502138,Christensenellales,Xanthomonadales_612302,Bacillales_B_310392,Bacillales_D_310495,UBA1381,Pseudomonadales_650612,TANB77,Treponematales,Cyanobacteriales,Gemmatimonadales,Bacillales_B_306089,Opitutales,Bacillales_G_286742,Xanthomonadales_613067,Pseudomonadales_660905,Nitrospirales,Acholeplasmatales,Veillonellales,Selenomonadales,Eubacteriales_258471,Streptomycetales_400645,Methanobacteriales,Pseudomonadales_641030,Gaiellales,Halobacteriales,Miltoncostaeales,Limnocylindrales,UBA5066,Burkholderiales_595427,Alicyclobacillales,AKYH767,Campylobacterales,Longimicrobiales,QHBO01,Rhizobiales_A_504721
Cloaca,0.5111688214589373,0.07466139649910208,6.307674585721023,0.07208670475187691,2.5794184497738653,0.008989103531935383,0.09487294411875251,0.0,0.21658410592458444,0.11003107719198975,3.8065362823445894,1.1997276231301688,0.0,0.9222655325096943,0.7220028775574067,0.0,18.28236234723882,0.0,17.630254991081898,0.3118580720946897,2.6947617301133833,0.004690364597115016,0.09577537810746824,0.01203734597246115,0.0,17.142287388398646,0.0,1.8381354732123454,0.15919335923669073,0.12218927023269775,0.0,0.02102893651821725,2.9188953497198775,3.679016368388693,0.0,0.03250552678721165,0.0,0.0981120676799953,0.013068713973604517,0.1352783114970559,0.0,0.02258877478085597,0.0073824814216596505,0.0,0.06804574569691045,0.0,0.0091398330128029,0.0,0.0,0.0,0.10981870647799667,0.0,0.0,5.505314485396629,0.0,0.0,0.0,0.0,0.0,0.0,8.094684092476152,0.0787538398593735,0.0,0.027568652413212647,0.0,0.0,0.0,0.0,0.0,0.0051781572355024666,0.14416682554009141,0.0,0.0,0.013642249143082067,0.2762628680185039,0.0,0.0,0.0,0.0,0.007981658177385232,0.0,0.0,0.01675717263863333,0.0,0.012623792600762102,0.0,0.0,0.0,0.007564040811553434,0.0,0.0,0.0,0.0,0.0,0.015005022360021616,0.0,0.0,0.0
Feces,6.266192942440188,0.0,0.06763004230150514,0.034502091689308664,6.497169783285456,0.0,0.0,0.0,0.009488075214559879,0.00308135861084456,0.34956036442925287,0.18458619053780137,0.0028811524609843797,0.18349359123683773,4.281767057003823,0.0,0.0,0.7295013070874233,20.95049078839941,0.00403266458312328,0.02457866054948308,0.0,0.0,0.00862552292232716,0.0,0.0209924827206814,2.5263730439279635,11.866864404895114,0.0,1.0362815694754821,10.466007977398268,1.5554788139366467,2.8174090857012315,0.01054629122965008,0.0,0.0,0.0,0.00604899687468494,0.0,0.17662590129514855,0.0,0.0,0.0,0.016388493552421602,0.0,0.2770102371964987,0.19787362158388772,14.872978458495558,0.05347824211842842,0.00542501610551656,0.0,0.0,0.14812347574865026,0.01946985216326618,0.0,0.0,0.0,0.3997069154916733,0.0,2.1747990584688837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007713345624967361,0.0,0.0,0.0,0.0,0.00384153661464584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00864542111803902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007445928383092421,0.0,0.0,0.42518563726986064,0.0,0.0,0.0
Oral Cavity,8.513202339024524,0.8220009361259587,0.45889509672762707,1.612199891962125,0.979214669100008,0.24507196448003973,0.023739263764900098,0.0111099104176531,0.2975456960657473,1.374043350653974,16.310974772804165,0.8766127866759714,2.0459405112150852,4.125448288600326,1.9918040389889515,0.03635636546238382,0.14641158701876963,4.137425678022654,14.367128855274576,0.7513233276628182,2.4824715088851326,0.2034430777959547,0.0,0.10377097246272664,0.6194770206436199,5.994075972060172,0.13937858723723193,1.8106231568873357,0.0,0.22292041853362035,4.267914151442433,1.3857744517185178,0.7292060594310142,0.7783348674898669,0.11993609281098536,0.35743125103531204,0.2869369268099029,0.29103460962998795,0.0,0.00435767822903955,0.057755823924171,0.17142741174762116,0.05720276205768753,0.3227212717756747,0.0,0.0,0.04180928944967045,2.113843242569412,0.21098679225226563,0.14554937999298975,0.0,0.12193585524343052,0.07716179597324788,1.74517332382021,0.00738431243846405,0.0,0.5918095061246522,0.03515908848259685,0.0676014570558128,0.05035567277314045,0.0,0.0,0.1327414766321376,0.12021158058192667,0.3978777606470793,0.03363964555300295,0.45224042437649226,0.0,0.0421119712309525,0.0,0.0,0.10532448138467883,0.09271414506071544,0.02519182317457995,0.0,0.026577499064345776,0.05623626420826683,0.06224715240672837,0.023107183515049576,0.0,1.8937325228642454,0.0,0.0,0.030503747603276975,0.0,2.4452283084922315,0.06255706670677195,1.5198085722152377,0.0,0.001640958319658675,0.021344709805326125,0.0,0.028218457384004452,0.005743354118805375,0.0287167705940269,0.0,0.0372437281421272,0.027464861744089148
Skin,1.8837328422611574,3.6571582386208106,0.2517414128139682,16.937018958760927,2.2273086124617456,0.4545355981197474,0.02244568145088885,0.00152914551348705,0.7068758714031338,1.5572603095763107,7.045470937978601,0.3696186083594397,1.6249523856745998,4.849368629049669,3.16278099930009,0.0,1.327970495591631,5.895225322739563,4.8907933414680596,3.636213530011895,0.9889437461740611,15.976152558197786,0.0,0.504126214365614,0.004587436540461175,1.8119007036498842,0.4225333915713131,2.5929040993055334,0.0,0.08575472681840357,4.666344293164527,0.450637215593534,3.209360395068374,0.35344897084286253,0.21470077609400917,0.036292705346258974,0.003058291026974125,0.7864413550702491,0.0,0.006776904310111125,0.12242814631889147,0.49766539364440054,0.004587436540461175,0.013388728056181525,0.0,0.0,0.024428245334064652,0.5793479260905052,0.4764394896955936,0.1279979755833826,0.0,0.3801457394019068,0.04651215735933072,0.10743371114787123,0.03142395403124437,0.1309105433153028,0.07645727567435318,0.0,0.0,0.044384220709061076,0.0,0.0,0.0095718145227611,0.03469297483031215,0.002293718270230575,0.350152630633866,0.06047054314739135,0.0,0.014060950812938875,0.0,0.0,0.7923708053059453,0.03745662727338092,0.1594998881761415,0.0,0.009174873080922375,0.0,0.0,0.0122331641078965,0.0,0.4932839847907934,0.0,0.0,0.017956545160711074,0.0,0.00152914551348705,0.01524803469775005,0.0099394458376659,0.0,0.05386963548213323,0.0,0.0,0.00382286378371765,0.00611658205394825,0.0,0.09843892791604385,0.04997404113436105,0.0
